Date_Time,Subject,Day_In_Week,Hours,Call_Started_Time,time_For_Wating_After_Voice_Mail,Answer_Time_From_,Representative_response_time_in_secounds,total_Time_Till_Response,Summery_Of_Call,Is_Was_a_Long_Wating_Time_Message,Other_Languages
2016-02-15 15:06:00,Life,2,14:01-17:00,15:04:46,15:06:02,15:06:12,86,10,Full reply received,No,No Foreign languages
2016-02-15 15:11:00,Health,2,14:01-17:00,15:10:37,15:11:28,15:11:49,72,21,Full reply received,No,Arabic; Russian; Amharic
2016-02-15 15:16:00,General,2,14:01-17:00,15:12:29,15:14:04,15:17:06,277,182,Full reply received,No,No Foreign languages
2016-02-15 15:18:00,General,2,14:01-17:00,15:17:32,15:18:16,15:18:24,52,8,Full reply received,No,No Foreign languages
2016-02-15 15:21:00,Health,2,14:01-17:00,15:20:20,15:21:34,15:22:08,108,34,Full reply received,No,No Foreign languages
2016-02-15 15:26:00,Health,2,14:01-17:00,15:22:59,15:23:58,15:24:14,75,16,Full reply received,No,No Foreign languages
2016-02-15 15:37:00,Health,2,14:01-17:00,15:34:42,15:35:47,15:38:29,227,162,Full reply received,No,No Foreign languages
2016-02-15 15:39:00,Life,2,14:01-17:00,15:38:53,15:39:25,15:39:43,50,18,Full reply received,No,No Foreign languages
2016-02-15 15:40:00,Life,2,14:01-17:00,15:40:28,15:41:08,15:41:31,63,23,Full reply received,No,Arabic; Russian; Amharic
2016-02-15 15:42:00,General,2,14:01-17:00,15:42:04,15:43:04,15:43:19,75,15,Full reply received,No,No Foreign languages
2016-02-15 15:43:00,Health,2,14:01-17:00,15:43:50,15:44:17,15:44:35,45,18,Full reply received,No,No Foreign languages
2016-02-15 15:45:00,General,2,14:01-17:00,15:44:59,15:45:21,15:46:44,105,83,Full reply received,No,No Foreign languages
2016-02-15 15:52:00,General,2,14:01-17:00,15:47:05,15:47:41,15:53:38,393,357,Full reply received,No,No Foreign languages
2016-02-15 15:57:00,Health,2,14:01-17:00,15:54:05,15:54:53,15:58:32,267,219,Full reply received,No,Arabic; Russian; Amharic
2016-02-15 16:03:00,Life,2,14:01-17:00,15:59:02,16:00:11,16:04:33,331,262,Full reply received,No,Arabic; Russian; Amharic
2016-02-15 16:09:00,Health,2,14:01-17:00,16:04:58,16:05:56,16:10:34,336,278,Full reply received,No,No Foreign languages
2016-02-15 16:11:00,Life,2,14:01-17:00,16:11:20,16:11:57,16:12:16,56,19,Full reply received,No,No Foreign languages
2016-02-15 16:13:00,General,2,14:01-17:00,16:12:39,16:13:14,16:14:01,82,47,Full reply received,No,No Foreign languages
2016-02-15 16:14:00,Health,2,14:01-17:00,16:14:26,16:14:52,16:15:16,50,24,Full reply received,No,No Foreign languages
2016-02-17 08:02:00,Life,4,8:00-11:00,08:01:28,08:02:45,08:03:28,120,43,Full reply received,No,No Foreign languages
2016-02-15 16:19:00,Health,2,14:01-17:00,16:19:28,16:19:50,16:20:03,35,13,Full reply received,No,No Foreign languages
2016-02-15 16:22:00,Health,2,14:01-17:00,16:20:34,16:21:09,16:23:23,169,134,Full reply received,No,No Foreign languages
2016-02-15 16:25:00,Life,2,14:01-17:00,16:23:42,16:24:19,16:26:43,181,144,Full reply received,No,Arabic; Russian; Amharic
2016-02-15 16:31:00,Life,2,14:01-17:00,16:27:04,16:27:17,16:32:06,302,289,Full reply received,No,Arabic; Russian; Amharic;English
2016-02-15 16:33:00,Life,2,14:01-17:00,16:32:29,16:33:48,16:33:56,87,8,Full reply received,No,No Foreign languages
2016-02-15 16:39:00,Life,2,14:01-17:00,16:35:30,16:36:38,16:39:57,267,199,Full reply received,No,No Foreign languages
2016-02-15 16:40:00,Health,2,14:01-17:00,16:40:22,16:40:49,16:41:12,50,23,Full reply received,No,No Foreign languages
2016-02-15 16:42:00,Health,2,14:01-17:00,16:41:32,16:42:25,16:43:05,93,40,Full reply received,No,No Foreign languages
2016-02-15 16:47:00,General,2,14:01-17:00,16:43:24,16:44:14,16:48:46,322,272,Full reply received,No,No Foreign languages
2016-02-16 09:16:00,General,3,8:00-11:00,9:13:32,9:14:48,9:16:50,198,122,Full reply received,No,No Foreign languages
2016-02-15 16:50:00,General,2,14:01-17:00,16:49:07,16:50:48,16:51:27,140,39,Full reply received,No,No Foreign languages
2016-02-15 16:51:00,General,2,14:01-17:00,16:51:52,16:52:25,16:52:54,62,29,Full reply received,No,No Foreign languages
2016-02-16 09:03:00,Health,3,8:00-11:00,9:01:10,9:03:04,9:04:24,194,80,Full reply received,No,No Foreign languages
2016-02-15 16:54:00,Health,2,14:01-17:00,16:54:44,16:55:06,16:55:13,29,7,Full reply received,No,No Foreign languages
2016-02-15 16:56:00,Health,2,14:01-17:00,16:55:49,16:56:17,16:56:27,38,10,Call Disconnected,No,No Foreign languages
2016-02-15 16:57:00,Health,2,14:01-17:00,16:57:30,16:57:44,16:57:53,23,9,Full reply received,No,No Foreign languages
2016-02-16 08:05:00,Life,3,8:00-11:00,8:03:30,8:04:10,8:04:23,53,13,Full reply received,No,No Foreign languages
2016-02-16 08:08:00,Life,3,8:00-11:00,8:07:53,8:08:56,8:09:00,67,4,Full reply received,No,No Foreign languages
2016-02-16 08:13:00,General,3,8:00-11:00,8:12:30,8:13:24,8:13:34,64,10,Full reply received,No,No Foreign languages
2016-02-16 08:20:00,Health,3,8:00-11:00,8:18:00,8:18:23,8:20:18,138,115,Full reply received,No,No Foreign languages
2016-02-16 08:25:00,Life,3,8:00-11:00,8:25:40,8:25:40,8:26:03,23,23,Full reply received,No,No Foreign languages
2016-02-16 08:38:00,Health,3,8:00-11:00,8:31:00,8:32:00,8:38:45,465,405,Full reply received,No,No Foreign languages
2016-02-16 08:40:00,Health,3,8:00-11:00,8:40:32,8:40:32,8:41:20,48,48,Full reply received,No,No Foreign languages
2016-02-16 08:44:00,Life,3,8:00-11:00,8:44:53,8:44:53,8:45:13,20,20,Full reply received,No,No Foreign languages
2016-02-16 08:49:00,General,3,8:00-11:00,8:48:00,8:48:32,8:49:50,110,78,Full reply received,No,No Foreign languages
2016-02-16 08:51:00,General,3,8:00-11:00,8:51:10,8:52:30,8:52:36,86,6,Full reply received,No,No Foreign languages
2016-02-16 08:53:00,Health,3,8:00-11:00,8:53:25,8:53:25,8:54:31,66,66,Full reply received,No,No Foreign languages
2016-02-16 09:11:00,General,3,8:00-11:00,9:09:33,9:11:17,9:12:38,185,81,Full reply received,No,No Foreign languages
2016-02-16 09:20:00,Life,3,8:00-11:00,9:20:13,9:20:37,9:20:50,37,13,Full reply received,No,No Foreign languages
2016-02-16 09:26:00,Health,3,8:00-11:00,9:26:27,9:27:15,9:27:25,58,10,Full reply received,No,No Foreign languages
2016-02-16 09:38:00,Health,3,8:00-11:00,9:34:11,9:35:00,9:39:05,294,245,Full reply received,No,Arabic; Russian; Amharic
2016-02-16 09:50:00,Life,3,8:00-11:00,9:41:44,9:42:38,9:50:47,543,489,Full reply received,No,No Foreign languages
2016-02-16 09:51:00,General,3,8:00-11:00,9:51:30,9:52:13,9:52:18,48,5,Full reply received,No,Arabic; Russian; Amharic
2016-02-16 09:54:00,Health,3,8:00-11:00,9:53:06,9:54:30,9:55:00,114,30,Full reply received,No,No Foreign languages
2016-02-16 09:56:00,Health,3,8:00-11:00,9:55:40,9:56:32,9:57:08,88,36,Full reply received,No,No Foreign languages
2016-02-16 09:58:00,General,3,8:00-11:00,9:58:20,9:58:20,9:59:04,44,44,Full reply received,No,No Foreign languages
2016-02-16 10:08:00,General,3,8:00-11:00,10:03:33,10:05:02,10:09:20,347,258,Full reply received,No,No Foreign languages
2016-02-16 10:17:00,General,3,8:00-11:00,10:14:54,10:14:54,10:18:24,210,210,Full reply received,No,No Foreign languages
2016-02-16 10:24:00,Health,3,8:00-11:00,10:23:32,10:24:28,10:25:28,116,60,Transferred to leave a message ,No,No Foreign languages
2016-02-16 10:30:00,Life,3,8:00-11:00,10:29:40,10:30:23,10:31:25,105,62,Full reply received,No,No Foreign languages
2016-02-16 10:35:00,General,3,8:00-11:00,10:35:35,10:35:35,10:36:10,35,35,Full reply received,No,No Foreign languages
2016-02-16 10:41:00,General,3,8:00-11:00,10:40:18,10:41:27,10:42:04,106,37,Full reply received,No,No Foreign languages
2016-02-16 10:49:00,General,3,8:00-11:00,10:45:20,10:45:54,10:50:30,310,276,Full reply received,No,No Foreign languages
2016-02-16 10:53:00,Health,3,8:00-11:00,10:51:18,10:52:31,10:54:15,177,104,Transferred to leave a message ,Yes,No Foreign languages
2016-02-16 10:56:00,Life,3,8:00-11:00,10:55:37,10:56:40,10:56:44,67,4,Full reply received,No,No Foreign languages
2016-02-16 11:07:00,General,3,11:01-14:00,11:04:30,11:05:40,11:07:33,183,113,Transferred to leave a message ,No,No Foreign languages
2016-02-16 11:11:00,Life,3,11:01-14:00,11:09:03,11:10:23,11:12:34,211,131,Full reply received,No,No Foreign languages
2016-02-16 11:21:00,General,3,11:01-14:00,11:16:45,11:18:04,11:21:40,295,216,Full reply received,No,No Foreign languages
2016-02-16 11:26:00,General,3,11:01-14:00,11:24:56,11:26:42,11:27:03,127,21,Full reply received,No,No Foreign languages
2016-02-16 11:38:00,Health,3,11:01-14:00,11:33:24,11:34:10,11:39:00,336,290,Full reply received,No,No Foreign languages
2016-02-16 11:42:00,Life,3,11:01-14:00,11:39:47,11:40:32,11:42:46,179,134,Full reply received,No,No Foreign languages
2016-02-16 11:49:00,General,3,11:01-14:00,11:47:04,11:47:04,11:50:32,208,208,Full reply received,No,No Foreign languages
2016-02-16 11:52:00,Health,3,11:01-14:00,11:51:20,11:52:45,11:53:33,133,48,Full reply received,No,No Foreign languages
2016-02-16 11:54:00,General,3,11:01-14:00,11:54:14,11:54:50,11:55:30,76,40,Full reply received,No,No Foreign languages
2016-02-16 12:07:00,Health,3,11:01-14:00,12:07:04,12:07:48,12:07:51,47,3,Full reply received,No,No Foreign languages
2016-02-16 12:17:00,General,3,11:01-14:00,12:09:16,12:10:00,12:18:00,524,480,Full reply received,No,No Foreign languages
2016-02-16 12:24:00,Life,3,11:01-14:00,12:18:54,12:20:13,12:25:09,375,296,Full reply received,No,Arabic; Russian; Amharic
2016-02-16 12:27:00,General,3,11:01-14:00,12:26:12,12:26:54,12:28:32,140,98,Full reply received,No,No Foreign languages
2016-02-16 12:28:00,Health,3,11:01-14:00,12:29:15,12:29:37,12:29:43,28,6,Full reply received,No,No Foreign languages
2016-02-16 12:35:00,Health,3,11:01-14:00,12:30:25,12:31:08,12:36:34,369,326,Call Disconnected,Yes,No Foreign languages
2016-02-16 12:37:00,Life,3,11:01-14:00,12:37:17,12:38:04,12:38:24,67,20,Full reply received,No,No Foreign languages
2016-02-16 12:40:00,Life,3,11:01-14:00,12:39:19,12:40:16,12:40:54,95,38,Full reply received,No,No Foreign languages
2016-02-16 13:01:00,Health,3,11:01-14:00,13:00:36,13:01:20,13:02:20,104,60,Full reply received,No,No Foreign languages
2016-02-16 13:10:00,Life,3,11:01-14:00,13:03:12,13:04:06,13:11:33,501,447,Full reply received,No,No Foreign languages
2016-02-16 13:18:00,Health,3,11:01-14:00,13:12:14,13:13:02,13:19:20,426,378,Full reply received,No,Arabic; Russian; Amharic
2016-02-16 13:20:00,Health,3,11:01-14:00,13:20:03,13:21:04,13:21:15,72,11,Full reply received,No,No Foreign languages
2016-02-16 13:23:00,General,3,11:01-14:00,13:21:52,13:22:42,13:24:00,128,78,Full reply received,No,No Foreign languages
2016-02-16 13:28:00,Health,3,11:01-14:00,13:24:40,13:25:53,13:28:42,242,169,Full reply received,No,No Foreign languages
2016-02-16 13:40:00,General,3,11:01-14:00,13:30:14,13:30:35,13:41:10,656,635,Full reply received,No,No Foreign languages
2016-02-16 13:43:00,Life,3,11:01-14:00,13:43:05,13:43:30,13:44:40,95,70,Full reply received,No,No Foreign languages
2016-02-16 13:46:00,Life,3,11:01-14:00,13:45:45,13:46:53,13:47:00,75,7,Full reply received,No,No Foreign languages
2016-02-16 13:48:00,Life,3,11:01-14:00,13:47:49,13:48:50,13:48:55,66,5,Full reply received,No,No Foreign languages
2016-02-16 13:53:00,Life,3,11:01-14:00,13:49:48,13:50:33,13:54:09,261,216,Full reply received,No,No Foreign languages
2016-02-16 13:56:00,General,3,11:01-14:00,13:56:54,13:57:15,13:57:46,52,31,Full reply received,No,No Foreign languages
2016-02-16 15:24:00,Life,3,14:01-17:00,15:07:25,15:11:13,15:12:48,323,95,Full reply received,No,No Foreign languages
2016-02-16 15:27:00,General,3,14:01-17:00,15:25:55,15:26:35,15:28:31,156,116,Full reply received,No,No Foreign languages
2016-02-16 15:30:00,Life,3,14:01-17:00,15:28:59,15:29:57,15:31:09,130,72,Full reply received,No,No Foreign languages
2016-02-16 15:35:00,General,3,14:01-17:00,15:32:30,15:33:03,15:36:36,246,213,Full reply received,No,No Foreign languages
2016-02-16 15:38:00,Life,3,14:01-17:00,15:37:01,15:37:49,15:38:56,115,67,Full reply received,No,Arabic; Russian; Amharic
2016-02-16 15:40:00,Life,3,14:01-17:00,15:39:58,15:40:44,15:40:52,54,8,Full reply received,No,Arabic; Russian; Amharic
2016-02-16 15:42:00,Life,3,14:01-17:00,15:41:36,15:42:55,15:43:19,103,24,Full reply received,No,No Foreign languages
2016-02-16 15:43:00,General,3,14:01-17:00,15:43:42,15:44:16,15:44:43,61,27,Full reply received,No,No Foreign languages
2016-02-16 15:45:00,Health,3,14:01-17:00,15:45:07,15:45:25,15:45:46,39,21,Full reply received,No,No Foreign languages
2016-02-16 15:46:00,Life,3,14:01-17:00,15:46:18,15:47:07,15:47:21,63,14,Full reply received,No,Arabic; Russian; Amharic
2016-02-16 15:48:00,General,3,14:01-17:00,15:48:57,15:49:26,15:49:36,39,10,Full reply received,No,No Foreign languages
2016-02-16 15:50:00,Life,3,14:01-17:00,15:50:11,15:50:35,15:50:57,46,22,Full reply received,No,No Foreign languages
2016-02-16 15:52:00,General,3,14:01-17:00,15:51:28,15:51:51,15:52:45,77,54,Full reply received,No,No Foreign languages
2016-02-16 15:55:00,General,3,14:01-17:00,15:55:05,15:55:38,15:56:35,90,57,Full reply received,No,No Foreign languages
2016-02-16 15:57:00,General,3,14:01-17:00,15:57:02,15:57:52,15:57:59,57,7,Full reply received,No,No Foreign languages
2016-02-16 15:58:00,Life,3,14:01-17:00,15:58:28,15:58:55,15:59:37,69,42,Full reply received,No,No Foreign languages
2016-02-16 16:10:00,General,3,14:01-17:00,16:08:03,16:08:40,16:11:21,198,161,Full reply received,No,No Foreign languages
2016-02-16 16:12:00,Life,3,14:01-17:00,16:12:00,16:12:20,16:12:31,31,11,Full reply received,No,No Foreign languages
2016-02-16 16:14:00,General,3,14:01-17:00,16:14:22,16:14:41,16:14:50,28,9,Full reply received,No,No Foreign languages
2016-02-16 16:15:00,Life,3,14:01-17:00,16:15:20,16:15:50,16:16:00,40,10,Full reply received,No,No Foreign languages
2016-02-16 16:17:00,Health,3,14:01-17:00,16:16:35,16:17:23,16:18:11,96,48,Full reply received,No,No Foreign languages
2016-02-16 16:20:00,General,3,14:01-17:00,16:18:37,16:19:29,16:21:48,191,139,Full reply received,No,No Foreign languages
2016-02-16 16:22:00,General,3,14:01-17:00,16:22:12,16:22:47,16:23:26,74,39,Full reply received,No,No Foreign languages
2016-02-16 16:29:00,Life,3,14:01-17:00,16:23:48,16:25:37,16:30:17,389,280,Full reply received,No,Arabic; Russian; Amharic
2016-02-16 16:32:00,Health,3,14:01-17:00,16:30:43,16:33:15,16:33:24,161,9,Full reply received,No,No Foreign languages
2016-02-16 16:34:00,Health,3,14:01-17:00,16:33:56,16:34:40,16:35:17,81,37,Full reply received,No,Arabic; Russian; Amharic
2016-02-16 16:56:00,Life,3,14:01-17:00,16:38:13,16:40:11,16:41:38,205,87,Full reply received,No,No Foreign languages
2016-02-18 08:03:00,General,5,8:00-11:00,8:03:17,8:03:43,8:03:53,36,10,Full reply received,No,No Foreign languages
2016-02-17 08:04:00,Life,4,8:00-11:00,08:04:32,08:05:23,08:05:30,58,7,Full reply received,No,No Foreign languages
2016-02-17 08:08:00,Health,4,8:00-11:00,08:07:00,08:07:56,08:09:04,124,68,Full reply received,No,No Foreign languages
2016-02-17 08:18:00,Life,4,8:00-11:00,08:15:51,08:17:32,08:19:14,203,102,Full reply received,No,Arabic; Russian; Amharic
2016-02-17 08:20:00,Life,4,8:00-11:00,08:19:51,08:20:37,08:21:07,76,30,Full reply received,No,Arabic; Russian; Amharic
2016-02-17 08:24:00,Life,4,8:00-11:00,08:23:57,08:24:56,08:25:11,74,15,Full reply received,No,No Foreign languages
2016-02-17 08:26:00,Life,4,8:00-11:00,08:26:05,08:27:16,08:27:25,80,9,Full reply received,No,No Foreign languages
2016-02-17 08:28:00,General,4,8:00-11:00,08:27:59,08:28:58,08:29:11,72,13,Full reply received,No,No Foreign languages
2016-02-17 08:30:00,Life,4,8:00-11:00,08:29:46,08:30:32,08:31:13,87,41,Transferred to leave a message ,No,No Foreign languages
2016-02-17 08:31:00,Life,4,8:00-11:00,08:31:42,08:32:07,08:32:16,34,9,Full reply received,No,No Foreign languages
2016-02-17 08:33:00,Health,4,8:00-11:00,08:32:53,08:33:48,08:34:05,72,17,Full reply received,No,Arabic; Russian; Amharic
2016-02-17 08:34:00,General,4,8:00-11:00,08:34:32,08:34:55,08:35:12,40,17,Full reply received,No,No Foreign languages
2016-02-17 08:36:00,Health,4,8:00-11:00,08:35:49,08:36:37,08:37:27,98,50,Full reply received,No,No Foreign languages
2016-02-17 08:41:00,Health,4,8:00-11:00,08:38:16,08:39:16,08:42:00,224,164,Full reply received,No,No Foreign languages
2016-02-17 08:42:00,General,4,8:00-11:00,08:42:30,08:42:47,08:42:57,27,10,Full reply received,No,No Foreign languages
2016-02-17 08:43:00,Health,4,8:00-11:00,08:43:34,08:44:20,08:44:28,54,8,Full reply received,No,No Foreign languages
2016-02-17 08:45:00,Life,4,8:00-11:00,08:44:58,08:46:03,08:46:16,78,13,Full reply received,No,Arabic; Russian; Amharic
2016-02-17 08:47:00,General,4,8:00-11:00,08:46:55,08:47:44,08:48:19,84,35,Full reply received,No,No Foreign languages
2016-02-17 08:48:00,Health,4,8:00-11:00,08:48:48,08:49:23,08:49:31,43,8,Full reply received,No,No Foreign languages
2016-02-17 08:50:00,Life,4,8:00-11:00,08:50:01,08:50:23,08:51:29,88,66,Full reply received,No,No Foreign languages
2016-02-17 08:58:00,General,4,8:00-11:00,08:52:32,08:52:46,08:58:31,359,345,Full reply received,No,Arabic; Russian; Amharic;English
2016-02-17 09:06:00,General,4,8:00-11:00,09:05:57,09:06:32,09:06:51,54,19,Full reply received,No,No Foreign languages
2016-02-17 09:07:00,General,4,8:00-11:00,09:07:37,09:07:56,09:08:26,49,30,Full reply received,No,No Foreign languages
2016-02-17 09:08:00,General,4,8:00-11:00,09:08:49,09:09:33,09:09:41,52,8,Full reply received,No,No Foreign languages
2016-02-17 09:10:00,General,4,8:00-11:00,09:10:14,09:10:28,09:11:23,69,55,Full reply received,No,Arabic; Russian; Amharic;English
2016-02-17 09:14:00,General,4,8:00-11:00,09:11:54,09:12:12,09:15:16,202,184,Full reply received,No,No Foreign languages
2016-02-17 09:15:00,Life,4,8:00-11:00,09:15:56,09:16:17,09:16:25,29,8,Full reply received,No,No Foreign languages
2016-02-17 09:17:00,General,4,8:00-11:00,09:17:06,09:17:28,09:17:53,47,25,Full reply received,No,No Foreign languages
2016-02-17 09:19:00,Health,4,8:00-11:00,09:18:32,09:18:43,09:20:14,102,91,Full reply received,No,No Foreign languages
2016-02-17 09:21:00,Health,4,8:00-11:00,09:20:45,09:21:11,09:21:51,66,40,Full reply received,No,No Foreign languages
2016-02-17 09:25:00,Life,4,8:00-11:00,09:22:41,09:23:20,09:23:30,49,10,Full reply received,No,Arabic; Russian; Amharic
2016-02-17 09:27:00,General,4,8:00-11:00,09:26:31,09:27:29,09:27:43,72,14,Full reply received,No,No Foreign languages
2016-02-17 09:33:00,General,4,8:00-11:00,09:28:35,09:29:27,09:30:18,103,51,Full reply received,No,Arabic; Russian; Amharic
2016-02-17 09:37:00,General,4,8:00-11:00,09:36:23,09:36:57,09:38:11,108,74,Full reply received,No,No Foreign languages
2016-02-17 09:45:00,General,4,8:00-11:00,09:41:48,09:42:08,09:46:42,294,274,Full reply received,No,No Foreign languages
2016-02-17 09:50:00,Life,4,8:00-11:00,09:47:19,09:47:32,09:50:50,211,198,Full reply received,Yes,Arabic; Russian; Amharic;English
2016-02-17 09:52:00,Life,4,8:00-11:00,09:51:22,09:52:58,09:53:24,122,26,Full reply received,No,Arabic; Russian; Amharic
2016-02-17 09:56:00,General,4,8:00-11:00,09:54:12,09:55:03,09:57:09,177,126,Full reply received,No,Arabic; Russian; Amharic
2016-02-17 09:58:00,General,4,8:00-11:00,09:57:37,09:58:13,09:58:36,59,23,Full reply received,No,Arabic; Russian; Amharic
2016-02-17 10:00:00,General,4,8:00-11:00,10:00:12,10:00:43,10:00:55,43,12,Full reply received,No,No Foreign languages
2016-02-17 10:01:00,General,4,8:00-11:00,10:01:41,10:01:57,10:02:23,42,26,Full reply received,No,No Foreign languages
2016-02-17 10:06:00,Life,4,8:00-11:00,10:03:03,10:04:08,10:05:13,130,65,Full reply received,No,No Foreign languages
2016-02-17 10:08:00,General,4,8:00-11:00,10:08:07,10:08:48,10:08:55,48,7,Full reply received,No,No Foreign languages
2016-02-17 10:09:00,General,4,8:00-11:00,10:09:26,10:10:00,10:10:17,51,17,Call Disconnected,No,No Foreign languages
2016-02-17 10:13:00,Health,4,8:00-11:00,10:10:55,10:11:06,10:14:29,214,203,Full reply received,No,No Foreign languages
2016-02-17 10:15:00,Health,4,8:00-11:00,10:14:58,10:15:44,10:16:00,62,16,Full reply received,No,No Foreign languages
2016-02-17 10:21:00,Life,4,8:00-11:00,10:16:27,10:16:57,10:21:50,323,293,Full reply received,No,No Foreign languages
2016-02-17 10:22:00,General,4,8:00-11:00,10:22:28,10:22:49,10:23:38,70,49,Full reply received,No,No Foreign languages
2016-02-17 10:25:00,Life,4,8:00-11:00,10:24:20,10:25:15,10:26:00,100,45,Full reply received,No,No Foreign languages
2016-02-17 10:37:00,Life,4,8:00-11:00,10:36:34,10:37:36,10:38:20,106,44,Full reply received,No,No Foreign languages
2016-02-17 10:46:00,Health,4,8:00-11:00,10:38:50,10:39:02,10:46:15,445,433,Full reply received,No,No Foreign languages
2016-02-17 10:48:00,General,4,8:00-11:00,10:48:01,10:48:25,10:49:36,95,71,Full reply received,No,No Foreign languages
2016-02-17 10:55:00,Life,4,8:00-11:00,10:54:34,10:55:35,10:55:55,81,20,Full reply received,No,No Foreign languages
2016-02-17 11:07:00,General,4,8:00-11:00,10:56:47,10:57:14,11:06:55,608,581,Waited for more than 10 minutes and hang up,No,No Foreign languages
2016-02-17 11:13:00,Life,4,11:01-14:00,11:12:59,11:13:15,11:14:14,75,59,Full reply received,No,No Foreign languages
2016-02-17 11:17:00,Health,4,11:01-14:00,11:16:13,11:16:42,11:17:32,79,50,Full reply received,No,No Foreign languages
2016-02-17 11:20:00,Life,4,11:01-14:00,11:18:56,11:19:22,11:20:48,112,86,Call Disconnected,No,No Foreign languages
2016-02-17 11:23:00,Life,4,11:01-14:00,11:22:44,11:23:35,11:24:33,109,58,Full reply received,No,No Foreign languages
2016-02-17 11:26:00,General,4,11:01-14:00,11:26:29,11:27:17,11:27:37,68,20,Full reply received,No,No Foreign languages
2016-02-17 11:32:00,Life,4,11:01-14:00,11:28:15,11:28:28,11:33:05,290,277,Full reply received,Yes,Arabic; Russian; Amharic;English
2016-02-17 11:33:00,Health,4,11:01-14:00,11:33:55,11:34:19,11:34:27,32,8,Full reply received,No,No Foreign languages
2016-02-17 11:36:00,Life,4,11:01-14:00,11:35:04,11:37:03,11:37:16,132,13,Full reply received,No,English
2016-02-17 11:37:00,General,4,11:01-14:00,11:37:51,11:38:37,11:38:45,54,8,Full reply received,No,No Foreign languages
2016-02-17 11:46:00,General,4,11:01-14:00,11:39:17,11:39:50,11:46:51,454,421,Full reply received,No,Arabic; Russian; Amharic
2016-02-17 11:48:00,Health,4,11:01-14:00,11:47:40,11:48:27,11:48:40,60,13,Full reply received,No,Arabic; Russian; Amharic
2016-02-17 11:53:00,Life,4,11:01-14:00,11:49:24,11:49:37,11:54:33,309,296,Full reply received,Yes,Arabic; Russian; Amharic;English
2016-02-17 11:58:00,General,4,11:01-14:00,11:56:15,11:57:02,11:59:19,184,137,Full reply received,No,Arabic; Russian; Amharic
2016-02-17 12:00:00,Health,4,11:01-14:00,11:59:56,12:00:25,12:00:32,36,7,Full reply received,No,No Foreign languages
2016-02-17 12:10:00,General,4,11:01-14:00,12:01:20,12:02:02,12:11:28,608,566,Waited for more than 10 minutes and hang up,No,No Foreign languages
2016-02-17 12:21:00,Health,4,11:01-14:00,12:12:02,12:12:31,12:21:58,596,567,Full reply received,No,Arabic; Russian; Amharic
2016-02-17 13:15:00,General,4,11:01-14:00,13:13:48,13:14:36,13:15:31,103,55,Call Disconnected,No,No Foreign languages
2016-02-17 13:17:00,General,4,11:01-14:00,13:16:20,13:17:25,13:17:58,98,33,Full reply received,No,No Foreign languages
2016-02-17 13:19:00,General,4,11:01-14:00,13:19:07,13:19:41,13:20:01,54,20,Full reply received,No,No Foreign languages
2016-02-17 13:20:00,Health,4,11:01-14:00,13:20:50,13:21:12,13:21:20,30,8,Full reply received,No,No Foreign languages
2016-02-17 13:26:00,General,4,11:01-14:00,13:22:03,13:22:57,13:27:08,305,251,Full reply received,No,Arabic; Russian; Amharic
2016-02-17 13:27:00,General,4,11:01-14:00,13:27:38,13:28:07,13:28:16,38,9,Full reply received,No,No Foreign languages
2016-02-17 13:29:00,Health,4,11:01-14:00,13:29:05,13:29:54,13:30:39,94,45,Full reply received,No,Arabic; Russian; Amharic
2016-02-17 13:42:00,Health,4,11:01-14:00,13:31:08,13:31:22,13:39:42,514,500,Full reply received,No,No Foreign languages
2016-02-17 13:43:00,Health,4,11:01-14:00,13:43:43,13:44:09,13:44:17,34,8,Full reply received,No,No Foreign languages
2016-02-17 13:46:00,General,4,11:01-14:00,13:45:03,13:45:53,13:47:11,128,78,Full reply received,No,Arabic; Russian; Amharic
2016-02-17 13:48:00,Health,4,11:01-14:00,13:47:35,13:48:35,13:49:21,106,46,Full reply received,No,No Foreign languages
2016-02-17 13:50:00,General,4,11:01-14:00,13:50:51,13:51:06,13:51:31,40,25,Full reply received,No,No Foreign languages
2016-02-17 13:52:00,Life,4,11:01-14:00,13:52:15,13:52:39,13:52:48,33,9,Full reply received,No,No Foreign languages
2016-02-17 13:53:00,Health,4,11:01-14:00,13:53:39,13:54:07,13:54:25,46,18,Full reply received,No,No Foreign languages
2016-02-17 13:57:00,Health,4,11:01-14:00,13:55:06,13:55:17,13:58:59,233,222,Full reply received,No,No Foreign languages
2016-02-17 14:02:00,Life,4,11:01-14:00,13:58:58,14:00:18,14:02:35,217,137,Full reply received,No,No Foreign languages
2016-02-17 14:10:00,General,4,14:01-17:00,14:03:25,14:06:20,14:10:31,426,251,Full reply received,No,No Foreign languages
2016-02-17 14:20:00,General,4,11:01-14:00,14:18:33,14:19:52,14:20:05,92,13,Full reply received,No,No Foreign languages
2016-02-17 14:24:00,Life,4,14:01-17:00,14:21:59,14:22:18,14:25:03,184,165,Full reply received,No,No Foreign languages
2016-02-17 14:30:00,Life,4,14:01-17:00,14:28:39,14:30:22,14:31:49,190,87,Full reply received,No,No Foreign languages
2016-02-17 14:32:00,Health,4,14:01-17:00,14:32:27,14:32:49,14:32:59,32,10,Full reply received,No,No Foreign languages
2016-02-17 14:34:00,General,4,14:01-17:00,14:34:21,14:35:09,14:35:21,60,12,Full reply received,No,No Foreign languages
